cell	x_coord	y_coord
35	280	1900
37	2913	1683
45	673	386
204	1020	2496
339	676	2132
365	410	2484
369	478	1647
379	578	1715
381	618	1834
387	2268	356
392	403	2272
396	970	2287
399	920	291
404	506	2310
416	311	814
418	234	1738
467	888	2324
504	1205	2306
524	934	2285
581	2618	2271
589	528	1502
611	1599	2186
623	305	1220
662	273	896
739	605	2359
759	1669	2717
796	610	2435
817	462	966
872	909	878
881	529	2276
906	288	1918
909	903	2278
931	800	909
956	333	1235
981	491	1772
986	388	1057
1001	1092	2366
1017	786	2077
1035	459	1966
1056	966	2465
1068	460	1998
1079	400	2471
1091	711	2149
1130	700	2344
1161	952	2279
1167	646	2411
1171	702	2242
1204	650	2033
1218	628	2273
1240	678	1893
1350	857	1986
1377	81	1684
1380	413	804
1400	972	2222
1403	484	1591
1406	383	1649
1410	248	1965
1425	743	844
1436	224	1832
1454	460	2143
1483	502	2489
1486	2307	235
1488	439	1194
1510	877	2397
1518	1416	907
1567	943	2347
1586	925	2377
1623	1043	2504
1626	868	2384
1636	115	1876
1645	476	969
1649	2637	557
1659	361	1501
1668	1464	2422
1694	693	1896
1699	418	1144
1713	817	2046
1718	487	1551
1776	767	2222
1787	100	1913
1790	541	2301
1812	1133	2266
1813	956	2260
1833	1146	544
1910	1124	2253
1932	765	1798
1935	546	1872
1963	1180	808
1989	325	1671
2004	931	1957
2007	953	605
2046	422	1278
2050	99	1039
2060	460	2217
2085	205	2211
2121	1438	2155
2131	793	2615
2135	460	1022
2151	2841	1761
2176	123	1587
2187	455	2373
2196	857	2113
2218	401	1769
2247	479	1676
2258	1064	2392
2271	349	1007
2280	230	1235
2281	762	393
2285	765	2016
2301	1064	2465
2348	873	2267
2368	1431	911
2373	450	1787
2387	947	2196
2410	456	1431
2413	783	2064
2414	431	1350
2442	640	2375
2444	448	2283
2484	577	2001
2498	331	2210
2501	585	2121
2502	503	2175
2514	576	2194
2526	1042	2026
2546	630	2243
2561	976	2343
2567	945	2131
2571	774	2036
2594	527	1787
2599	156	2011
2612	401	1517
2613	768	935
2619	298	1966
2629	107	1947
2637	1020	442
2654	834	863
2664	435	2126
2681	1044	414
2682	288	2100
2687	394	1662
2689	534	2001
2694	132	1599
2730	442	1711
2758	262	1963
2776	708	2358
2777	290	1138
2787	598	2267
2796	518	912
2819	319	1426
2837	268	1753
2847	1779	947
2858	323	1939
2863	385	1633
2869	334	1007
2877	476	1020
2886	768	899
2889	814	2207
2891	613	1964
2895	789	1820
2897	908	1939
2905	917	2172
2908	378	1671
2930	912	1962
2936	259	1543
2970	290	687
2976	1408	923
3002	63	1335
3007	458	1352
3014	645	2080
3041	414	1400
3083	356	988
3087	263	2006
3093	430	1572
3100	530	1070
3114	488	1070
3118	306	2123
3124	350	2062
3135	1181	2333
3160	356	1726
3191	405	1978
3195	683	1992
3212	43	1625
3213	607	2006
3217	975	2451
3256	594	583
3261	297	1189
3270	750	2028
3277	587	1647
3302	272	774
3351	642	2491
3364	577	2089
3366	247	2055
3375	595	1759
3393	444	949
3420	372	700
3428	315	860
3432	746	625
3441	180	931
3446	269	1913
3472	601	2410
3480	53	1290
3489	434	1420
3509	346	2128
3510	303	2244
3522	459	1337
3524	867	2171
3528	67	1857
3539	188	1019
3540	1405	2409
3558	538	2217
3568	384	1178
3569	350	2242
3571	630	555
3587	348	933
3600	536	892
3614	461	1651
3625	889	2357
3635	596	2094
3646	474	1697
3661	848	809
3676	532	2036
3683	319	1093
3689	861	2130
3709	869	2002
3732	394	1754
3756	167	1650
